,datetime,alert_type
0,2020-10-05 21:00:00,GREEN
1,2020-10-06 21:00:00,GREEN
2,2020-10-07 21:00:00,GREEN
3,2020-10-08 21:00:00,GREEN
4,2020-10-09 21:00:00,GREEN
5,2020-10-10 21:00:00,GREEN
6,2020-10-11 21:00:00,GREEN
7,2020-10-12 21:00:00,GREEN
8,2020-10-13 21:00:00,GREEN
9,2020-10-14 21:00:00,GREEN
10,2020-10-15 21:00:00,GREEN
11,2020-10-16 21:00:00,GREEN
12,2020-10-17 21:00:00,RED
13,2020-10-18 21:00:00,GREEN
14,2020-10-19 21:00:00,GREEN
15,2020-10-20 21:00:00,GREEN
16,2020-10-21 21:00:00,GREEN
17,2020-10-22 21:00:00,GREEN
18,2020-10-23 21:00:00,GREEN
19,2020-10-24 21:00:00,GREEN
20,2020-10-25 21:00:00,GREEN
21,2020-10-26 21:00:00,GREEN
